name	muscles	etype	equipment	rep_time	video	description
LungeCurls	['Quadriceps', 'Biceps']	strength	['kettlebell', 'dumbbell']	4		
Lunges	['Quadriceps']	strength	[None, 'kettlebell', 'dumbbell']	2		
LungPulseHop	['Quadriceps']	cardio	[None, 'kettlebell', 'dumbbell']			
LyingRussianTwists	['Abdominals']	strength	['kettlebell', 'dumbbell']	1		
MountainClimbers	['Abdominals', 'Quadriceps', 'Shoulders']	cardio	[None]	0.5		
MountainClimberTwists	['Abdominals', 'Quadriceps', 'Shoulders']	cardio	[None]	1		
MuleKicks	['Quadriceps', 'Shoulders', 'Abdominals']	cardio	[None]	2.75	https://www.youtube.com/embed/Y7947iQH4cc	
NarrowPushUps	['Chest', 'Triceps', 'Shoulders']	strength	[None]	2.25		
ObliqueCrunches	['Abdominals']	strength	[None]	1		
OneAndOneHalfCurls	['Biceps']	strength	['band', 'kettlebell', 'dumbbell']	3		
OneAndOneHalfRDLs	['LowerBack', 'Hamstrings']	strength	['band', 'kettlebell', 'dumbbell']	7		
OutAndInCurls	['Biceps']	strength	['band', 'kettlebell', 'dumbbell']			
OutwardCurls	['Biceps']	strength	['band', 'kettlebell', 'dumbbell']	2		
OverheadSquats	['Quadriceps', 'Shoulders']	strength	['kettlebell', 'dumbbell']	2.75		
OverheadTricepExtensions	['Triceps']	strength	['band', 'kettlebell', 'dumbbell']	2		
PistolSquats	['Quadriceps']	strength	[None]	4		
Plank	['Abdominals']	strength	[None]			
PlankJacks	['Abdominals', 'Quadriceps', 'Shoulders']	cardio	[None]	1		
PlankReach	['Abdominals', 'Shoulders']	strength	[None]			
PlankWalk	['Abdominals', 'Shoulders']	strength	[None]			
PlankWithHipRotations	['Abdominals']	strength	[None]	1		
PrisonerSquats	['Quadriceps']	strength	[None, 'kettlebell', 'dumbbell']	4	https://www.youtube.com/embed/cpHY0nqApxg	
ProneLegLifts	['LowerBack']	strength	[None]	2.25	https://www.youtube.com/embed/O-m_M9-qlIY	
PushPressJumpingJacks	['Shoulders', 'Calves']	cardio	['kettlebell', 'dumbbell']	1.75		
PushUpJackTaps	['Chest', 'Triceps', 'Shoulders', 'Quadriceps']	cardio	[None]	4.25	https://www.youtube.com/embed/HpvWopwRsa0	
PushUps	['Chest', 'Triceps', 'Shoulders']	strength	[None]	2.25		
RenegadePushUps	['Chest', 'Triceps', 'Shoulders', 'MiddleBack']	strength	['dumbbell', 'kettlebell']	4	https://www.youtube.com/embed/clVj2dQ_GoY	
ReverseCrunches	['Abdominals']	strength	[None]	3		
ReverseInchWorms	['Abdominals']	strength	[None]	5	https://www.youtube.com/embed/C04fm4LuI5s	
ReversePlanks	['Shoulders', 'LowerBack']	strength	[None]			
RussianTwists	['Abdominals']	strength	[None, 'kettlebell', 'dumbbell']	0.75		
ScissorKicks	['Abdominals']	cardio	[None]	0.4		
SeatedLegRaises	['Abdominals']	strength	[None]	2		
